SalesKey,OrderID,DateKey,CustomerKey,ProductKey,ChannelKey,PromotionKey,PaymentKey,Quantity,UnitPrice,GrossAmount,DiscountPct,DiscountAmount,NetAmount
1,1531,20210921,613,143,1,6,3,9,115.21,1036.89,0,0,1036.89
2,18183,20220802,433,102,3,,3,8,344.3,2754.4,0,0,2754.4
3,1251,20200904,846,132,2,23,1,2,51.77,103.54,0,0,103.54
4,12995,20220203,875,4,2,,5,9,567.02,5103.18,0,0,5103.18
5,8914,20240427,143,22,3,25,2,3,271.9,815.7,0,0,815.7
6,14096,20210815,909,199,4,,2,4,561.36,2245.44,0,0,2245.44
7,11526,20210216,536,99,1,,2,7,425.4,2977.8,0,0,2977.8
8,13435,20230528,71,57,1,,5,3,440.71,1322.13,0,0,1322.13
9,3683,20250913,944,121,1,11,3,6,105.06,630.36,0,0,630.36
10,16777,20210308,828,119,1,,4,10,192.37,1923.7,0,0,1923.7
11,18392,20201227,103,138,4,,4,1,308,308,0,0,308
12,2718,20230818,236,162,3,24,2,4,297.43,1189.72,0,0,1189.72
13,826,20220118,247,37,1,,2,3,468.65,1405.95,0,0,1405.95
14,16824,20200319,887,121,3,1,1,7,105.06,735.42,0,0,735.42
15,15567,20240206,395,158,4,,5,2,377.54,755.08,0,0,755.08
16,8967,20251017,303,174,2,,3,5,502.2,2511,0,0,2511
17,3346,20210402,965,154,3,,4,5,377.79,1888.95,0,0,1888.95
18,18066,20200821,742,133,4,,3,9,70.31,632.79,0,0,632.79
19,9696,20220622,535,105,4,,1,1,380.79,380.79,0,0,380.79
20,4157,20230127,521,109,2,9,2,9,124.45,1120.05,0,0,1120.05
21,307,20220118,501,138,2,2,3,9,308,2772,0,0,2772
22,17965,20241011,4,87,2,17,3,3,561.68,1685.04,0,0,1685.04
23,12290,20220807,773,41,1,10,1,9,645.44,5808.96,0,0,5808.96
24,15726,20201222,56,186,3,20,5,1,494.27,494.27,0,0,494.27
25,13875,20200118,874,152,1,,2,4,726.69,2906.76,0,0,2906.76
26,13618,20230414,571,132,2,,2,4,51.77,207.08,0,0,207.08
27,9932,20230120,425,162,3,,3,1,297.43,297.43,0,0,297.43
28,12588,20250225,765,47,1,,2,3,461.74,1385.22,0,0,1385.22
29,9309,20221116,271,6,3,1,1,4,94.4,377.6,0,0,377.6
30,16789,20241201,236,151,4,,4,4,492.3,1969.2,0,0,1969.2
31,592,20241102,931,178,1,,1,8,237.39,1899.12,0,0,1899.12
32,18049,20210627,474,191,4,,4,10,156.73,1567.3,0,0,1567.3
33,13572,20240226,918,100,3,,5,4,336.9,1347.6,0,0,1347.6
34,7084,20200902,448,41,2,,2,3,645.44,1936.32,0,0,1936.32
