Description,Agency (Dept or Stat Body),Agency address,Contract description/name,Award contract date,Contract value,Supplier name,Supplier address,Variation to contract (Yes/No),Specific confidentiality provision used,Procurement method,Form of contract,Number of offers sought,Evaluation criteria and weightings,Deliverables,Contract milestones,Contract performance management,Contract reference number,Contract category group,Parent contract number/SOA,Commence date,Supplier ABN,Finish date
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Membership,1/07/2019,7500000,Queensland Tertiary Admissions Centre Lt,"PO Box 1331,Milton, QLD  4064",No,No,Limited,,,,,,,1834712,General Goods and Services,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Printing expenditure,1/07/2019,3397753,Ricoh Australia Pty Ltd,"PO Box 3571, South Brisbane, QLD  4101",Yes,No,Open,,,,,,,GU2896,General Goods and Services,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Bathroom Refurbishment,3/07/2019,20613,A1 Building & Property Solutions Pty Ltd,"3 D'aguilar Road, The Gap, QLD  4061",No,No,,,,,,,,323691,Building Construction and Maintenance,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Financial Advice for Joint Venture,3/07/2019,110000,Lazard Pty Ltd,"Level 38, Gateway Building, 1 Macquarie Place, Sydney, NSW  2000",No,No,,,,,,,,323696,General Goods and Services,GU4339,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Study Stays Software Maintenance,3/07/2019,19525,StudyStays Pty Ltd,"40 Kingsholme Street, Teneriffe, QLD  4005",No,No,,,,,,,,323725,Information and Communication Technology,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Co-Editing Services,3/07/2019,20000,Zorka Holdings Pty Ltd,"18 Ispahan Avenue, South Hobart, TAS  7004",No,No,,,,,,,,323711,General Goods and Services,GU4343,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Student Field Trip,4/07/2019,12200,D.O.M Education Pty Ltd,"Level 6, Suite 2,138 Albert Street, Brisbane, QLD  4000",No,No,,,,,,,,1788934,General Goods and Services,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Large Shear Tester,4/07/2019,123913,Geotech International Australia Pty Ltd,"8 Argyle Place, Millers Point, NSW  2000",No,No,,,,,,,,323840,General Goods and Services,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Conference Venue 13-14 November,4/07/2019,47300,InterContinental Sanctuary Cove Resort,"PO Box 200, Sancyuary Cove, QLD  4212",No,No,,,,,,,,323835,General Goods and Services,GU4345,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Staff Recruitment,4/07/2019,19111,Optimum Recruitment Group (Qld) Pty Ltd,"Level 17, 40 Creek Street, Brisbane, QLD  4000",No,No,,,,,,,,1788881,General Goods and Services,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Gold Coast campus Water Management Work,4/07/2019,119551,Precise Air Group P/L,"PO Box 1859, Springwood, QLD  4128",No,No,,,,,,,,323760,Building Construction and Maintenance,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Installation of Acoustic Wall Treatments,4/07/2019,85219,Precision Contracting (QLD) Pty Ltd,"PO Box 21, Archerfield, QLD  4108",No,No,,,,,,,,323732,General Goods and Services,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Production of Digital Campus Tour Video,4/07/2019,21890,Prodigious Brand Logistics,"30 Windmill Street, Millers Point, NSW  2000",No,No,,,,,,,,323766,General Goods and Services,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Consultancy - Student Research,4/07/2019,71500,Sprout Research Pty Ltd,"PO Box 312, Nundah, QLD  4012",No,No,,,,,,,,323764,General Goods and Services,GU4337,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Consultancy - Copy Editor Services,4/07/2019,22000,The Big Speakeasy,"71 Cootharaba Crescent, Warner, QLD  4500",No,No,,,,,,,,323758,General Goods and Services,GU4344,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Axient AV Equipment,5/07/2019,60324,BSG Brisbane Sound Group,"73 Toombul Road, Northgate, QLD  4013",No,No,,,,,,,,323853,General Goods and Services,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",V00 Architectural Services,5/07/2019,74410,Deicke Richards Architects Pty Ltd,"PO Box 507, Fortitude Valley, QLD  4006",No,No,,,,,,,,323899,Building Construction and Maintenance,V160786,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Fellowship Consultancy,5/07/2019,10000,Food Connect Foundation,"4/8 Textile Crescent, Salisbury, QLD  4107",No,No,,,,,,,,323911,General Goods and Services,GU4352,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Oracle Enterprise Annual Software License,5/07/2019,628874,Oracle Corporation Australia Pty Ltd,"GPO Box 1313, Sydney, NSW  2001",No,No,Limited,,,,,,,323901,Information and Communication Technology,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Installation of Acoustic Curtain,5/07/2019,19842,Precision Contracting (QLD) Pty Ltd,"PO Box 21, Archerfield, QLD  4108",No,No,,,,,,,,323886,General Goods and Services,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",DS Data Breach Exercise,5/07/2019,12524,Risk Logic Pty Ltd,"Level 7, 74 Castlereagh Street, Sydney, NSW  2000",No,No,,,,,,,,323914,Information and Communication Technology,GU4349,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",TSXPO Signage,5/07/2019,19795,Valiant Hire,"16/50 Parker Court, Pinkenba, QLD  4008",No,No,,,,,,,,323884,General Goods and Services,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Relocation of Paramedicine,8/07/2019,263772,Alliance Interiors Qld Pty Ltd,"PO Box 2111, Logan City DC, QLD  4114",No,No,,,,,,,,323920,Building Construction and Maintenance,G160762,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Optiplex AIO Computer Purchase,8/07/2019,47762,Dell Australia Pty Ltd,"PO Box 91, Frenchs Forest, NSW  2086",No,No,,,,,,,,323931,Information and Communication Technology,GU069,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",New Air Conditioning Unit,8/07/2019,210342,Dewpoint Air,"PO Box 3479, Newmarket, QLD  4051",No,No,,,,,,,,324005,Building Construction and Maintenance,N160290,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Sciences Asset Plan,8/07/2019,88000,Hassell Limited,"61 Little Collins Street, Melbourne, VIC  3000",No,No,,,,,,,,323997,General Goods and Services,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Fellowship Consultancy,8/07/2019,11000,Impact Boom Pty Ltd,"32 Cambridge St, Red Hill, QLD  4059",No,No,,,,,,,,324007,General Goods and Services,GU4354,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Fellowship Consultancy,8/07/2019,11000,YFS Ltd,"PO Box 727, Woodridge, QLD  4114",No,No,,,,,,,,323996,General Goods and Services,GU4355,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",60 hour service and support pack,9/07/2019,13200,Academ Pty Ltd,"107 Alexander Street, Crows Nest, NSW  2065",No,No,,,,,,,,1789551,Information and Communication Technology,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Conference Venue and Event Hire,9/07/2019,30492,Bensonlily Surfers Paradise Pty Ltd,"Surfers Paradise Marriott Resort & Spa, Surfers Paradise, QLD  4217",No,No,,,,,,,,324078,General Goods and Services,GU4361,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Brisbane Alumni Event,9/07/2019,22000,Emporium Hotel Management Pty Ltd,"267 Grey Street, South Brisbane, QLD  4069",No,No,,,,,,,,324017,General Goods and Services,GU4358,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Comms Digital Media T1 2020,9/07/2019,16500,Ikon Communications Pty Ltd,"22 Constance Street, Fortitude Valley, QLD  4006",No,No,,,,,,,,324014,General Goods and Services,GU1586,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",BCI Media T1 2020,9/07/2019,12650,Ikon Communications Pty Ltd,"22 Constance Street, Fortitude Valley, QLD  4006",No,No,,,,,,,,324015,General Goods and Services,GU1586,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Law Media T1 2020,9/07/2019,25520,Ikon Communications Pty Ltd,"22 Constance Street, Fortitude Valley, QLD  4006",No,No,,,,,,,,324016,General Goods and Services,GU1586,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Scenic Construction for Stage Production,9/07/2019,73731,NJW Designs Pty Ltd,"15 Caravan St, Wendouree, VIC  3355",No,No,,,,,,,,324018,Building Construction and Maintenance,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Recruitment Services,9/07/2019,51700,Robinson Fitzgerald Pty Ltd,"Suite 7, 138 Juliette Street, Greenslopes, QLD  4120",No,No,,,,,,,,324046,General Goods and Services,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Screenrights Licence Payment 2019,9/07/2019,247015,Screenrights,"PO Box 1248, Neutral bay, NSW  2089",No,No,,,,,,,,324062,Information and Communication Technology,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",ICT Professional Services,10/07/2019,147290,Calibre Consulting Group,"80 Dengate Lane, St Lucia, QLD  4067",No,No,,,,,,,,324108,Information and Communication Technology,GU4359,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Backstage Catering ,10/07/2019,12737,Garnishes Catering,"18 Edmondstone Road, Bowen Hills, QLD  4006",No,No,,,,,,,,324144,General Goods and Services,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Fume Cupboard Testing and Maintenance,10/07/2019,27500,JAF Australia Pty Ltd t/a Air Equipment,"1 / 9 Thomas Hanlon Ct, Yatala, QLD  4207",No,No,,,,,,,,324087,Building Construction and Maintenance,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",G40 plantroom service and parts,10/07/2019,50472,Merck Pty Ltd,"Ground Floor, Bldg 1, 885 Mountain Hwy, Bayswater, VIC  3153",No,No,,,,,,,,324084,Building Construction and Maintenance,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Biomedical Supply Chain Development Project,10/07/2019,22000,Regional Development Australia Gold Coast,"PO Box 3290, Australia Fair, Southport, QLD  4215",No,No,,,,,,,,324157,General Goods and Services,GU4357,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Media Audit,11/07/2019,16698,Affinity,"Level 3 Suite 15, 50 Stanley Street, Darlinghurst, NSW  2010",No,No,,,,,,,,324257,General Goods and Services,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",General Equipment,11/07/2019,51871,Arris Pty Ltd,"PO Box 206, Highgate, SA  5063",No,No,,,,,,,,324262,General Goods and Services,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Leadership and Mentoring Programs,11/07/2019,26654,Ethos Consulting Pty Ltd,"PO Box 3416, Norwood, SA  5067",No,No,,,,,,,,1784985,General Goods and Services,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Cleaning Services,11/07/2019,16500,Pacific Water Treatment Services,"PO Box 3292, Warner, QLD  4500",No,No,,,,,,,,324230,General Goods and Services,,,,
