Agency (Dept or Stat Body),Agency address,Contract description/ name,Award contract date,Contract value,Supplier name,Supplier address,Variation to contract (Yes/No),Specific confidentiality provision used,Procurement method,Form of contract,Number of offers sought,Evaluation criteria and weightings,Deliverables,Contract milestones,Contract performance management,Contract reference number,Contract category group,Parent contract number/SOA,Commence date,Supplier ABN,Finish date
Griffith University,"170 Kessels Road, Nathan Qld 4111",Conceptual Design N25 Building,1/07/2020,20350,Blight Rayner Architecture Pty Ltd,"Level 2, 88 Creek Street,  Brisbane, Qld, 4000",No,No ,N/A,,,,,,,341614,Building Construction and Maintenance,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Gumurri Refurbishment,1/07/2020,17028,Borhan Ghofrani,Brisbane,No,No ,N/A,,,,,,,341613,Building Construction and Maintenance,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",L08 Transformer And Rmu,1/07/2020,14366,Webb Australia Group (Qld) Pty Ltd,"Po Box 1005,  Toowong, Qld, 4066",No,No ,N/A,,,,,,,341611,Building Construction and Maintenance,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Electrical Upgrade,2/07/2020,13090,Descab Pty Ltd T/A Qld Multi Trades,"34 Hindes Street,  Lota, Qld, 4178",No,No ,N/A,,,,,,,341648,Building Construction and Maintenance,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",T1 Health Media Buy,2/07/2020,109113,Ikon Communications Pty Ltd,"Level 4, 1 Kent Street,  Millers Points, Nsw, 2000",No,No ,N/A,,,,,,,341641,General Goods and Services,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Open House 2020 Campaign,2/07/2020,275000,Ikon Communications Pty Ltd,"Level 4, 1 Kent Street,  Millers Points, Nsw, 2000",No,No ,N/A,,,,,,,341647,General Goods and Services,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Computing Maintenance & Support,2/07/2020,82500,Invision Media Pty Ltd,"241 Given Tce, Po Box 5014 Paddington, Qld, 4064",No,No ,N/A,,,,,,,341653,Information and Communication Technology,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",QFI Membership Jul 20 To Jun 2,2/07/2020,27280,Queensland Futures Institute Ltd,"Level 11, 111 Eagle Street, Brisbane, Qld 4000",No,No ,N/A,,,,,,,1860037,General Goods and Services,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",Professional Research Services ,2/07/2020,44000,University Of Western Australia,"Nedlands,  Nedlands, Wa, 6907",No,No ,N/A,,,,,,,341654,General Goods and Services,,,,
Griffith University,"170 Kessels Road, Nathan Qld 4111",IEEE 1 Jul 2020 - 30 Jun 2021,3/07/2020,134647,Ebsco International Inc,"Subscription Services, Attn John Siweknorth Sydney, Nsw 2060",No,No ,N/A,,,,,,,1859845,General Goods and Services,,,,
