Description,Agency (Dept or Stat Body),Agency address,Contract description/name,Award contract date,Contract value,Supplier name,Supplier address,Variation to contract (Yes/No),Specific confidentiality provision used,Procurement method,Reason for use of limited tendering,Form of contract,Number of offers sought,Evaluation criteria and weightings,Deliverables,Contract milestones,Contract performance management,Contract reference number,Contract category group,Parent contract number/SOA,Variation comments,Commence date,Supplier ABN,Finish date
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Consultancy Services,1/07/2021,274890,A.G. Coombs Advisory Pty Ltd,"26 Cochranes Rd,  Moorabbin, Vic, 3189",No,No,,,,,,,,,354518,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Equipment,1/07/2021,22259,A2K Technologies Pty Ltd,"62 Brandl Street,  Eight Mile Plains, Qld, 4113",No,No,,,,,,,,,354525,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Equipment,1/07/2021,12258,Bsg Brisbane Sound Group,"73 Toombul Road,  Northgate, Qld, 4013",No,No,,,,,,,,,354537,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Equipment,1/07/2021,107210,Perkin Elmer Pty Ltd,"Po Box 5290, Brandon Park Post Shop Brandon Park, Vic, 3150",No,No,,,,,,,,,354520,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Project management services,1/07/2021,204160,Project Partners Corporation Pty Ltd,"Level 8, 82 Eagle Street Brisbane City, Qld, 4000",No,No,,,,,,,,,354519,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Consultancy Services,1/07/2021,36135,Sue Birch Consulting,Victoria,No,No,,,,,,,,,354517,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Consultancy Services,1/07/2021,13750,The Trustee For Rendell Family Trust,Victoria,No,No,,,,,,,,,354521,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Contractor payment,1/07/2021,13728,Victoria University,"Finance, Po Box 14428 Melbourne, Vic, 8001",No,No,,,,,,,,,1912152,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Membership Fees,2/07/2021,33000,Australian Academy Of Science,"Gpo Box 783,  Canberra, Act, 2601",No,No,,,,,,,,,1912457,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Consumables,2/07/2021,11170,Becton Dickinson Pty Ltd,"69 Brandl Street,  Eight Mile Plains, Qld, 4113",No,No,,,,,,,,,354578,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Refurbishment activities,2/07/2021,455926,Fitout And Refurbishment Australia Pty L,"Suite 2B, 8 Paxton St Springwood, Qld, 4127",No,No,,,,,,,,,354580,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Sponsorship,2/07/2021,22000,Griffithuni Surfers Paradise Rowing Club,"Po Box 8781,  Gcmc, Qld, 9726",No,No,,,,,,,,,354566,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Event Expenditure,2/07/2021,11371,Heidi Louise Loveland,Brisbane Qld,No,No,,,,,,,,,1912511,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Scientific Equipment,2/07/2021,14114,Oxford Nanopore Technologies Ltd,"Gosling Building, Edmund Halley Road, Oxford Science Park Oxford, Oxon, Ox4 4Dq",No,No,,,,,,,,,354546,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Event Expenditure,2/07/2021,99000,Racv Royal Pines Resort,"Pmb 88,  Gcmc, Qld, 9726",No,No,,,,,,,,,354543,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Hire & lease charges,2/07/2021,78980,Valiant Hire,"16/50 Parker Court,  Pinkenba, Qld, 4008",No,No,,,,,,,,,354559,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Consultancy Services,2/07/2021,13637,Visual Science,Canada,No,No,,,,,,,,,354547,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Equipment,5/07/2021,47465,Bio-Strategy Pty Limited,"P.O Box 14,  Campbellfield, Vic, 3061",No,No,,,,,,,,,354590,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Repairs & maintenance,5/07/2021,23862,Logical Line Marking,"18 Ferguson Street,  Underwood, Qld, 4119",No,No,,,,,,,,,354606,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Consultancy Services,5/07/2021,13970,Mark Israel Consulting Pty Ltd,Western Australia,No,No,,,,,,,,,354591,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Relocation Services,6/07/2021,18390,All Purpose Removals,"Po Box 2,  Archerfield, Qld, 4108",No,No,,,,,,,,,354647,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Legal Fees,6/07/2021,64481,Clayton Utz,"Gpo Box 9806,  Canberra, Act, 2601",No,No,,,,,,,,,354649,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Event Expenditure,6/07/2021,17972,Clear Mountain Health And Conference Cen,"564 Clear Mountain Road,  Cashmere, Qld, 4500",No,No,,,,,,,,,354655,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Laboratory Consumables,6/07/2021,69168,Focus Bioscience Pty Ltd,"Po Box 6480,  St Lucia, Qld, 4067",No,No,,,,,,,,,354642,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Repairs & maintenance,6/07/2021,13390,Instron A Division Of Itw Australia Pty,"15/15 Stud Road,  Bayswater, Vic, 3153",No,No,,,,,,,,,354654,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Commission payment,6/07/2021,20900,Kokos International Brisbane,"Suite 1E, Level 1 Brisbane, Qld, 4000",No,No,,,,,,,,,1912728,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Consultancy Services,7/07/2021,15375,Aleksander Braczkowski, South Africa,No,No,,,,,,,,,1912915,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Consultancy Services,7/07/2021,165000,Calibre Consulting Group,Brisbane,No,No,,,,,,,,,354717,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Cleaning Services,7/07/2021,13035,Descab Pty Ltd T/A Qld Multi Trades,Brisbane,No,No,,,,,,,,,354733,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Cleaning Services,7/07/2021,17754,Descab Pty Ltd T/A Qld Multi Trades,Brisbane,No,No,,,,,,,,,354734,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Cleaning Services,7/07/2021,17798,Descab Pty Ltd T/A Qld Multi Trades,Brisbane,No,No,,,,,,,,,354732,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Consultancy Services,7/07/2021,21956,Geleon Consulting,"Po Box 454,  Nerang, Qld, 4211",No,No,,,,,,,,,354711,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Consultancy Services,7/07/2021,21252,Geleon Consulting,"Po Box 454,  Nerang, Qld, 4211",No,No,,,,,,,,,354710,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Consultancy Services,7/07/2021,13637,Jai Clifford-Holmes,"Tokai, 7945",No,No,,,,,,,,,1912225,,,,,,
