Agency,"Agency
Address",Contract description/name,Award contract date,"Contract Value ($)
(incl GST)",Supplier Name,Supplier Address,"Variation to Contract
(Yes/No)","Specific confidentiality provision used
(in contract)",Procurement method,Form of contract,Number of offers sought,Evaluation criteria and weightings,Deliverables,Contract milestones,Contract performance management,Contract reference number,Contract category group,Parent contract number/SOA,Commencement Date,Finish date,Supplier ABN
DoH_PD,33 Charlotte Street,e-Recruitment online system for the Intern and RMO recruitment campaigns,1/04/2019,995281.61,Acendre Pty Ltd,L4/600 VICTORIA ST RICHMOND  VIC 3121,No,No,,,,,,,,PD63038-1,General Goods & Services,,1/04/2019,31/03/2026,26079099282
DoH_PD,33 Charlotte Street,Service Agreement for Medical Officers for State-wide Medical Coordination and Pre-Hospital and Retrieval Medical Services ,10/09/2018,109340000.00,LifeFlight Retrieval Medicine,PO Box 15166  CITY EAST QLD 4002 ,No,No,Open,Service Provider Agreement,Not applicable,"Evaluation criteria based on:
- demonstrated experience;
- clinical capacity and capability;
- collaboration and innovation;
- service implementation, and
- sustainability and pricing.",Service model which integrates functionally with RSQ processes and is compliant with Queensland Health Clinical Standard for Retrieval Services in Queensland,,Managed through contract meetings and Key Performance Indicators,PD98319,Medical,HSQ82375,4/08/2019,31/07/2024,45010316462
DoH_PD,33 Charlotte Street,Provision of high quality emergency helicopter services,8/06/2020,10450000.00,CENTRAL QUEENSLAND HELICOPTER RESCUE SERVICE LTD,Mackay Airport Mike Jones Street MACKAY Qld 4740 ,Yes,Yes,Limited,Deed of Variation,,,,,,PD91544,,,1/07/2019,30/06/2024,73415515751
DoH_PD,33 Charlotte Street,Notifiable Conditions System (NoCs) Replacement ,29/03/2019,7225720.70,Sunquest Information Systems P/L,Level 6 Suite 2 410 Ann Street Brisbane Qld 4000 ,No,No,Open,,,,,,,PD99134,Information and Communication Technology,,29/03/2019,14/05/2025,32620052404
DoH_PD,33 Charlotte Street,Traditional Bases Interfacility Fixed Wing aero-medical services,1/07/2019,16963138.65,ROYAL FLYING DOCTOR SERVICE OF AUSTRALIA QUEENSLAND SECTION ,12 CASUARINA STREET  BRISBANE AIRPORT QLD 4007 ,No,,Limited,N/A,N/A,N/A,Provision of fixed wing pre-hospital and retrieval services.,N/A,Managed through contract meetings and Key Performance Indicators,PD80337,General Goods and Services,,1/07/2019,30/06/2020,45010316462
DoH_PD,33 Charlotte Street,Provision of Non Traditional MRT Hours per annum fixed wing aero-medical services ,1/07/2019,26055805.22,ROYAL FLYING DOCTOR SERVICE OF AUSTRALIA QUEENSLAND SECTION ,12 CASUARINA STREET  BRISBANE AIRPORT QLD 4007 ,No,,Limited,N/A,N/A,N/A,Provision of fixed wing pre-hospital and retrieval services.,N/A,Managed through contract meetings and Key Performance Indicators,PD80338,General Goods and Services,,1/07/2011,30/06/2022,45010316462
DoH_PD,33 Charlotte Street,Additional hours of fixed wing aero- medical services,1/07/2019,9979121.99,ROYAL FLYING DOCTOR SERVICE OF AUSTRALIA QUEENSLAND SECTION ,12 CASUARINA STREET  BRISBANE AIRPORT QLD 4007 ,No,,Limited,N/A,N/A,N/A,Provision of fixed wing pre-hospital and retrieval services.,N/A,Managed through contract meetings and Key Performance Indicators,PD80335,General Goods and Services,,24/09/2010,30/06/2022,45010316462
DoH_PD,33 Charlotte Street,Temporary Contractor,1/07/2019,149600.00,HUDSON GLOBAL RESOURCES (AUST) PTY LIMITED ,LVL 17 CENTRAL PLAZA 2 66 EAGLE STREET Brisbane QLD 4000 ,Yes,No,Select,,,,,,,PD82774-3,,PTD0007-14 ,1/07/2019,31/12/2020,
DoH_PD,33 Charlotte Street,ICT Products and Services - AMBFlight System ,23/11/2019,0.00,SPECTRUM DATA SYSTEMS INTERNATIONAL PTY. LTD.,"PO Box 7251, East Brisbane QLD  4169",Yes,No,Limited,,,,,,,PD83821,,,23/11/2019,23/11/2021,
DoH_PD,33 Charlotte Street,Secondment Agreement for the provision of RFDS Senior Midwifery Flight Nurse,18/02/2020,57810.00,ROYAL FLYING DOCTOR SERVICE OF AUSTRALIA QUEENSLAND SECTION ,12 CASUARINA STREET  BRISBANE AIRPORT QLD 4007 ,Yes,No,Limited,,,,,,,PD101726,,,1/07/2019,31/12/2020,
