Agency,"Agency
Address",Contract description/name,Award contract date,"Contract Value
(incl GST)",SupplierName,Supplier Address,"Variation to Contract
(Yes/No)","Specific confidentiality provision used
(in contract)",Procurement method,Form of contract,Number of offers sought,Evaluation criteria and weightings,Deliverables,Contract milestones,Contract performance management,Contract reference number,Contract category group,Parent contract number/SOA,Commencement Date,Finish date,Supplier ABN
DoH_PD,33 Charlotte Street,e-Recruitment online system - Yearly campaign configurations,2020-07-01T00:00:00,"74,010.44",Acendre Pty Ltd,L4/600 VICTORIA ST RICHMOND  VIC 3121,No,No,,,,,,,,PD63038-1,General Goods & Services,,2020-07-01T00:00:00,2026-03-31T00:00:00,26079099282
DoH_PD,33 Charlotte Street,Secondment Agreement for the provision of RFDS Senior Midwifery Flight Nurse,2019-08-29T00:00:00,"256,344.62",ROYAL FLYING DOCTOR SERVICE OF AUSTRALIA QUEENSLAND SECTION ,12 CASUARINA STREET  BRISBANE AIRPORT QLD 4007 ,Yes,,,,,,,,,PD101726,General Goods & Services,,2019-09-09T00:00:00,2021-06-30T00:00:00,45010316462
DoH_PD,33 Charlotte Street,Torres Strait and Northern Peninsula Helicopter Services,2019-11-08T00:00:00,"3,300,000.00",BABCOCK MISSION CRITICAL SERVICES AUSTRALASIA PTY LTD,"GPO Box 1275, ADELAIDE  SA  5001",Yes,,Limited,,,,,,,PD75749,General Goods & Services,,2020-07-01T00:00:00,2021-06-30T00:00:00,50011075460
DoH_PD,33 Charlotte Street,Long Distance and/or High Acuity Air Ambulance Services - Tier One,2019-11-15T00:00:00,"4,950,000",Lifeflight Commercial Limited,PO Box 15166  CITY EAST QLD 4002 ,Yes,,Limited,,,,,,,PD91799,General Goods & Services,,2020-07-01T00:00:00,2021-06-30T00:00:00,45010316462
DoH_PD,33 Charlotte Street,Long Distance and/or High Acuity Air Ambulance Services - Tier Two,2019-11-15T00:00:00,"1,100,000",ASPEN MEDICAL PTY LTD,PO Box 231  Deakin West ACT 2600 ,Yes,,Limited,,,,,,,PD91801,General Goods & Services,,2020-07-01T00:00:00,2021-06-30T00:00:00,32105250413
DoH_PD,33 Charlotte Street,Provision of high quality emergency helicopter services,2020-03-12T00:00:00,"9,964,166.69",CAPRICORN HELICOPTER RESCUE SERVICE LIMITED,Rockhampton Airport Canoona Road Rockhamtpon Qld 4700 ,Yes,,Limited,Deed of Variation,N/A,N/A,The provider must provide aircraft or backup aircraft available for tasking 24 hours a day seven days a week using personnel trained in accordance with training requirements set out in the Contract.,N/A,Managed through contract meetings and Key Performance Indicators ,PD91551,General Goods & Services,,2020-07-01T00:00:00,2024-06-30T00:00:00,35071728295
DoH_PD,33 Charlotte Street,"Licence fee, software support and application development",2020-04-01T00:00:00,"213,996.64",SPECTRUM DATA SYSTEMS INTERNATIONAL PTY. LTD.,"PO Box 7251, East Brisbane QLD  4169",Yes,,,,,,,,,PD83821,Information and Communication Technology,,2020-04-01T00:00:00,2021-11-23T00:00:00,61096657804
DoH_PD,33 Charlotte Street,Provision of aerial support to Qld Govt agencies in the Mount Isa Region,2020-04-27T00:00:00,"2,717,000.00",Lifeflight Australia Limited,PO Box 15166  CITY EAST QLD 4002 ,Yes,,Limited,,,,,,,PD91552,General Goods & Services,,2020-07-01T00:00:00,2021-06-30T00:00:00,45010316462
DoH_PD,33 Charlotte Street,Provision of high quality emergency helicopter services,2020-06-08T00:00:00,"11,004,400",CENTRAL QUEENSLAND HELICOPTER RESCUE SERVICE LTD,"Mike Jones Street, Mackay Airport, MACKAY   QLD   4740",Yes,,Limited,Deed of Variation,N/A,N/A,The provider must provide aircraft or backup aircraft available for tasking 24 hours a day seven days a week using personnel trained in accordance with training requirements set out in the Contract.,N/A,Managed through contract meetings and Key Performance Indicators ,PD91544,General Goods & Services,,2019-07-01T00:00:00,2024-06-30T00:00:00,73415515751
DoH_PD,33 Charlotte Street,Legal advice ,2020-07-07T00:00:00,"21,346.38",Corrs Chambers Westgarth,"L35/1, EAGLE ST, BRISBANE  QLD  4000",No,,,,,,,,,,General Goods & Services,,2020-06-30T00:00:00,2021-02-05T00:00:00,89690832091
DoH_PD,33 Charlotte Street,Provision of aerial support to Qld Govt agencies in the South East Region,2020-08-03T00:00:00,"64,908,976.00",Lifeflight Australia Limited,PO Box 15166  CITY EAST QLD 4002 ,Yes,,Limited,Deed of Variation,N/A,N/A,The provider must provide aircraft or backup aircraft available for tasking 24 hours a day seven days a week using personnel trained in accordance with training requirements set out in the Contract.,N/A,Managed through contract meetings and Key Performance Indicators ,PD91553,General Goods & Services,,2020-08-03T00:00:00,2024-06-30T00:00:00,45010316462
DoH_PD,33 Charlotte Street,LearnFlex License software and software support services,2020-08-17T00:00:00,"15,400.00",B Online Learning Pty Ltd,"Suite 205 and 206 The Cooperage, 56 Bowman St, Pyrmont NSW 2009",Yes,Yes,,,,,,,,PD107116,General Goods & Services,,2020-06-27T00:00:00,2021-08-26T00:00:00,50068437338
DoH_PD,33 Charlotte Street,Standby Jet for COVID-19 ,2020-08-26T00:00:00,"911,193.81",Lifeflight Australia Limited,PO Box 15166  CITY EAST QLD 4002 ,No,,Limited,,,,,,,,General Goods & Services,,2020-07-01T00:00:00,2020-09-30T00:00:00,32105250413
