Agency (Dept or Stat Body),Agency address,Contract description/name,Award contract date,Contract value,Supplier name,Supplier address,Variation to contract (Yes/No),Specific confidentiality provision used,Procurement method,Reason for use of limited tendering,Form of contract,Number of offers sought,Evaluation criteria and weightings,Deliverables,Contract milestones,Contract performance management,Contract reference number,Contract category group,Parent contract number/SOA,Variation comments,Commence date,Supplier ABN,Finish date,,
DoH_PD,33 Charlotte Street,Ethics Review Manager (ERM) Software - Statewide Solution ,14/07/2021,"444,749.37",Infonetica Ltd,"The Lower Ground Floor Office, The Civic Centre, High Street, Esher, KT10 9SD",No,No, , , , , , , , ,PD113734,Information and Communication Technology, , ,14/07/2021,96394859661,13/07/2022, , 
DoH_PD,33 Charlotte Street,e-Recruitment online system - Yearly campaign configurations,1/07/2021,"88,129.54",Acendre Pty Ltd,L4/600 VICTORIA ST RICHMOND  VIC 3121,No,No,,,,,,,,,PD63038-1,General Goods & Services,,,1/07/2021,26079099282,31/03/2026,,
DoH_PD,33 Charlotte Street,Enhancements to State Wide Arborvirus Response and Mosquito Management System (SWARMMS) ,1/07/2021,"65,890.00",RAPID MAP GLOBAL PTY LTD,Suite 22 2 Enterprise Drive Bundoora VIC 3083 ,Yes,,,,,,,,,,PD101939,Information and Communication Technology,,,1/07/2022,25065883749,31/08/2023,,
DoH_PD,33 Charlotte Street,Professional Services,17/09/2021,"133,818.83",Jones Lang Lasalle (Qld) Pty Limited,L40/345 Queen Street Brisbane Q 4000,No,No,,,,,,,,,4301660358,General Goods & Services,,,17/09/2021,40010411140,30/06/2022,,
DoH_PD,33 Charlotte Street,Traditional Bases Interfacility Fixed Wing aero-medical services,23/04/2021,"17,325,374.56",ROYAL FLYING DOCTOR SERVICE OF AUSTRALIA QUEENSLAND SECTION ,12 CASUARINA STREET  BRISBANE AIRPORT QLD 4007 ,Yes,No,Limited,b - (iii) The absence of competition for technical reasons which can only be supplied by a particular supplier and no reasonable alternative exists,Deed of Variation,N/A,N/A,Provision of fixed wing pre-hospital and retrieval services.,N/A,Managed through contract meetings and Key Performance Indicators,PD80337,General Goods & Services,,,1/07/2021,45010316462,30/06/2022,,
DoH_PD,33 Charlotte Street,Provision of Non Traditional MRT Hours per annum fixed wing aero-medical services ,23/04/2021,"27,338,545.61",ROYAL FLYING DOCTOR SERVICE OF AUSTRALIA QUEENSLAND SECTION ,12 CASUARINA STREET  BRISBANE AIRPORT QLD 4007 ,Yes,No,Limited,b - (iii) The absence of competition for technical reasons which can only be supplied by a particular supplier and no reasonable alternative exists,Deed of Variation,N/A,N/A,Provision of fixed wing pre-hospital and retrieval services.,N/A,Managed through contract meetings and Key Performance Indicators,PD80338,General Goods & Services,,,1/07/2021,45010316462,30/06/2022,,
DoH_PD,33 Charlotte Street,Additional hours of fixed wing aero- medical services,23/04/2021,"11,400,445.76",ROYAL FLYING DOCTOR SERVICE OF AUSTRALIA QUEENSLAND SECTION ,12 CASUARINA STREET  BRISBANE AIRPORT QLD 4007 ,Yes,No,Limited,b - (iii) The absence of competition for technical reasons which can only be supplied by a particular supplier and no reasonable alternative exists,Deed of Variation,N/A,N/A,Provision of fixed wing pre-hospital and retrieval services.,N/A,Managed through contract meetings and Key Performance Indicators,PD80335,General Goods & Services,,,1/07/2021,45010316462,30/06/2022,,
DoH_PD,33 Charlotte Street,Provision of healthcare training,6/07/2021,"27,039.00",HealthCare Training Service,PO Box 426  ALBANY CREEK QLD 4035,No,No,,,,,,,,,,General Goods & Services,,,6/07/2021,44426764393,24/05/2022,,
DoH_PD,33 Charlotte Street,Travel Accomodation expenses,6/07/2021,"69,166.10",HRS Australasia Pty Ltd,"Level 35/03 60 Margaret St, Sydney NSW 2000",No,No,,,,,,,,,,General Goods & Services,,,6/07/2021,42006852991,30/06/2022,,
DoH_PD,33 Charlotte Street,Travel Air Fares,13/07/2022,"31,713.43",QANTAS Airways Limited,PO Box 766 BRISBANE  QLD  4001,No,No,,,,,,,,,,General Goods & Services,,,13/07/2022,16009661901,30/06/2022,,
