Agency (Dept or Stat Body),Agency address,Contract description/name,Award contract date,Contract value,Supplier name,Supplier address,Variation to contract (Yes/No),Specific confidentiality provision used,Procurement method,Reason for use of limited tendering,Form of contract,Number of offers sought,Evaluation criteria and weightings,Deliverables,Contract milestones,Contract performance management,Contract reference number,Contract category group,Parent contract number/SOA,Variation comments,Commence date,Supplier ABN,Finish date
DoH_PD,33 Charlotte Street,Assurance Review,10/10/2022,"12,430.00",Information Professional Holdings,"PO Box 15390, City East QLD 4002",No,No,,,,,,,,,4302581493,General Goods and Services,ICT 9281,,10/10/2022,98164080200,31/12/2022
DoH_PD,33 Charlotte Street,Printing PBS Hospital Prescription Forms 2022-23,30/09/2022,"168,530.13",Dept Of Human Services,"PO Box 1699, Southport Qld 4215",No,No,,,,,,,,,4302461876,General Goods and Services,,,30/09/2022,90794605008,30/08/2023
DoH_PD,33 Charlotte Street,The Change Agency Events May 22 - Feb 23,8/07/2022,"14,980.99",Indooroopilly Golf Club,"Meiers Rd, Indooroopilly QLD 4068",No,No,,,,,,,,,,General Goods & Services,,,8/07/2022,19009660726,24/03/2023
DoH_PD,33 Charlotte Street,Highly specialised independent financial advice,7/06/2022,"412,500.00",Deloitte Financial Advisory P/L,GPO Box 1463  Brisbane  Qld 4001,No,No,,,,,,,,,PD115389,General Goods & Services,QGP0050-18,,7/06/2022,83611749841,3/02/2023
DoH_PD,33 Charlotte Street,Procurement and probity advice for new long term agreements,20/06/2022,"165,000.00",ConnellGriffin Pty Ltd ,L7/360 Kent Street Sydney   NSW  2000,No,No,,,,,,,,,PD115180/-1,General Goods & Services,QGP0050-18,,20/06/2022,78162085592,30/03/2023
DoH_PD,33 Charlotte Street,SOA Long Distance and/or High Acuity Air Ambulance Services,1/07/2022,"6,814,731.00",Lifeflight Commercial Limited,PO Box 15166  CITY EAST QLD 4002,No,No,Open,,Standing offer arrangement,6,,Provision of long distance/high acuity air ambulance services,,Managed through contract meetings and Key Performance Indicators,PD108744,General Goods and Services,PD108744,,1/07/2022,32105250413,30/06/2023
DoH_PD,33 Charlotte Street,SOA Long Distance and/or High Acuity Air Ambulance Services,1/07/2022,"2,920,599.00",Aspen Medical Pty Ltd,PO Box 231  Deakin West ACT 2600,No,No,Open,,Standing offer arrangement,6,,Provision of long distance/high acuity air ambulance services,,Managed through contract meetings and Key Performance Indicators,PD108744,General Goods and Services,PD108744,,1/07/2022,32105250413,30/06/2023
DoH_PD,33 Charlotte Street,Provision of specific clothing required for aeromedical retrievals,25/07/2022,"11,000.00",Sisley Clothing Australia,8 ROGILLA CL Maryland  NSW  2287,No,No,,,,,,,,,4302320768,General Goods and Services,QGP0059-19,,25/07/2022,89690832091,30/06/2023
DoH_PD,33 Charlotte Street,Legal advice contract development,27/07/2022,"25,300.00",Corrs Chambers Westgarth,"L35/1, EAGLE ST, BRISBANE  QLD  4000",No,No,,,,,,,,,4302320768,General Goods and Services,QGP0059-19,,27/07/2022,89690832091,3/02/2023
DoH_PD,33 Charlotte Street,LearnFlex License software and software support services,4/08/2022,"15,400.00",B Online Learning Pty Ltd,"Suite 205 and 206 The Cooperage, 56 Bowman St, Pyrmont NSW 2009",Yes,No,,,,,,,,,PD107116,General Goods & Services,,,27/08/2022,50068437338,26/08/2023
DoH_PD,33 Charlotte Street,Provision of aviation subject matter advice and undertaking audits,30/08/2022,"11,000.00",TECHSAFE AVIATION PTY LTD,BLDG 108.3  DA VINCI BUSINESS PARK Brisbane Airport  QLD  4009,Yes,No,,,,,,,,,PD109291,General Goods and Services,,,30/08/2022,24167390445,31/12/2022
DoH_PD,33 Charlotte Street,Provision of Professional Facility Planning ,23/09/2022,"29,128.00",Destravis Australia Pty Ltd,152 Junction Road Clayfield   Qld   4011,No,No,,,,,,,,,PD116989,General Goods and Services,CAS480,,23/09/2022,22621170170,31/12/2022
DoH_PD,33 Charlotte Street,Probity Advisor,31/10/2022,"12,644.50",Charles Kendall Australia Pty Ltd,"Level 9, 144 Edward Street, Brisbane  Qld 4000",No,No,,,,,,,,,PD116713,General Goods & Services,QGP0050-18,,31/10/2022,89690832091,30/06/2023
DoH_PD,33 Charlotte Street,Legal fees,29/06/2022,"27,302.00",Minter Ellison,WATERFRONT PLACE L 22 1 EAGLE STREET BRISBANE  QLD  4000,No,No,,,,,,,,,,General Goods and Services,QGP0059-19,,29/06/2022,91556716819,9/03/2023
