date,date_key,year,quarter,month,month_name,year_month,week,day_of_month,day_of_week,is_weekend,financial_year
2016-10-20,20161020,2016,Q4,10,October,2016-10,42,20,Thursday,False,2017
2016-10-21,20161021,2016,Q4,10,October,2016-10,42,21,Friday,False,2017
2016-10-22,20161022,2016,Q4,10,October,2016-10,42,22,Saturday,True,2017
2016-10-23,20161023,2016,Q4,10,October,2016-10,42,23,Sunday,True,2017
2016-10-24,20161024,2016,Q4,10,October,2016-10,43,24,Monday,False,2017
2016-10-25,20161025,2016,Q4,10,October,2016-10,43,25,Tuesday,False,2017
2016-10-26,20161026,2016,Q4,10,October,2016-10,43,26,Wednesday,False,2017
2016-10-27,20161027,2016,Q4,10,October,2016-10,43,27,Thursday,False,2017
2016-10-28,20161028,2016,Q4,10,October,2016-10,43,28,Friday,False,2017
2016-10-29,20161029,2016,Q4,10,October,2016-10,43,29,Saturday,True,2017
2016-10-30,20161030,2016,Q4,10,October,2016-10,43,30,Sunday,True,2017
2016-10-31,20161031,2016,Q4,10,October,2016-10,44,31,Monday,False,2017
2016-11-01,20161101,2016,Q4,11,November,2016-11,44,1,Tuesday,False,2017
2016-11-02,20161102,2016,Q4,11,November,2016-11,44,2,Wednesday,False,2017
2016-11-03,20161103,2016,Q4,11,November,2016-11,44,3,Thursday,False,2017
2016-11-04,20161104,2016,Q4,11,November,2016-11,44,4,Friday,False,2017
2016-11-05,20161105,2016,Q4,11,November,2016-11,44,5,Saturday,True,2017
2016-11-06,20161106,2016,Q4,11,November,2016-11,44,6,Sunday,True,2017
2016-11-07,20161107,2016,Q4,11,November,2016-11,45,7,Monday,False,2017
2016-11-08,20161108,2016,Q4,11,November,2016-11,45,8,Tuesday,False,2017
2016-11-09,20161109,2016,Q4,11,November,2016-11,45,9,Wednesday,False,2017
2016-11-10,20161110,2016,Q4,11,November,2016-11,45,10,Thursday,False,2017
2016-11-11,20161111,2016,Q4,11,November,2016-11,45,11,Friday,False,2017
2016-11-12,20161112,2016,Q4,11,November,2016-11,45,12,Saturday,True,2017
2016-11-13,20161113,2016,Q4,11,November,2016-11,45,13,Sunday,True,2017
2016-11-14,20161114,2016,Q4,11,November,2016-11,46,14,Monday,False,2017
2016-11-15,20161115,2016,Q4,11,November,2016-11,46,15,Tuesday,False,2017
2016-11-16,20161116,2016,Q4,11,November,2016-11,46,16,Wednesday,False,2017
2016-11-17,20161117,2016,Q4,11,November,2016-11,46,17,Thursday,False,2017
2016-11-18,20161118,2016,Q4,11,November,2016-11,46,18,Friday,False,2017
2016-11-19,20161119,2016,Q4,11,November,2016-11,46,19,Saturday,True,2017
2016-11-20,20161120,2016,Q4,11,November,2016-11,46,20,Sunday,True,2017
2016-11-21,20161121,2016,Q4,11,November,2016-11,47,21,Monday,False,2017
2016-11-22,20161122,2016,Q4,11,November,2016-11,47,22,Tuesday,False,2017
2016-11-23,20161123,2016,Q4,11,November,2016-11,47,23,Wednesday,False,2017
2016-11-24,20161124,2016,Q4,11,November,2016-11,47,24,Thursday,False,2017
2016-11-25,20161125,2016,Q4,11,November,2016-11,47,25,Friday,False,2017
