date,date_key,created_date_key,activity_date_key,opportunity_id,account_key,sales_rep_key,product_key,stage_key,deal_stage,revenue,predicted_win_probability,days_to_close,opportunity_age_days,year_month,year,month
2017-03-01,20170301,20161020,20170301,1C1I7A6R,9.0,5,6,4,Won,1054.0,0.9978784518343653,132.0,132.0,2017-03,2017,3
2017-03-11,20170311,20161025,20170311,Z063OYW0,39.0,10,2,4,Won,4514.0,0.9999999999999998,137.0,137.0,2017-03,2017,3
2017-03-07,20170307,20161025,20170307,EC4QE1BX,9.0,10,3,4,Won,50.0,0.8646315198346902,133.0,133.0,2017-03,2017,3
2017-03-09,20170309,20161025,20170309,MV1LWRNH,11.0,5,1,4,Won,588.0,0.9763559947227899,135.0,135.0,2017-03,2017,3
2017-03-02,20170302,20161025,20170302,PE84CX4O,35.0,33,1,4,Won,517.0,0.9534917674711986,128.0,128.0,2017-03,2017,3
2017-03-01,20170301,20161029,20170301,ZNBS69V1,59.0,1,3,4,Won,49.0,0.8931373275478722,123.0,123.0,2017-03,2017,3
2017-03-02,20170302,20161030,20170302,9ME3374G,41.0,24,3,4,Won,57.0,0.8191616533123421,123.0,123.0,2017-03,2017,3
2017-03-07,20170307,20161101,20170307,7GN8Q4LL,10.0,27,1,4,Won,601.0,0.9825879006204659,126.0,126.0,2017-03,2017,3
2017-03-03,20170303,20161101,20170303,OLK9LKZB,85.0,9,6,4,Won,1026.0,0.9915384127399082,122.0,122.0,2017-03,2017,3
2017-03-10,20170310,20161104,20170310,NL3JZH1Z,4.0,1,3,4,Won,53.0,0.8751947049356589,126.0,126.0,2017-03,2017,3
2017-03-18,20170318,20161104,20170318,KWVA7VR1,28.0,8,2,2,Lost,0.0,0.006943430094343691,134.0,134.0,2017-03,2017,3
2017-03-10,20170310,20161104,20170310,S8DX3XOU,70.0,30,5,4,Won,5169.0,1.0,126.0,126.0,2017-03,2017,3
2017-03-06,20170306,20161104,20170306,ENB2XD8G,65.0,34,5,4,Won,4631.0,1.0,122.0,122.0,2017-03,2017,3
2017-03-11,20170311,20161105,20170311,09YE9QOV,24.0,26,4,4,Won,3393.0,0.9999999999973237,126.0,126.0,2017-03,2017,3
2017-03-03,20170303,20161105,20170303,3F5MZNEH,65.0,25,3,2,Lost,0.0,0.7344170234083847,118.0,118.0,2017-03,2017,3
2017-03-06,20170306,20161105,20170306,M6WEJXC0,61.0,25,4,4,Won,3284.0,0.999999999988747,121.0,121.0,2017-03,2017,3
2017-03-05,20170305,20161106,20170305,6PTR7VBR,73.0,3,3,4,Won,61.0,0.88521427271261,119.0,119.0,2017-03,2017,3
2017-03-09,20170309,20161107,20170309,902REDPA,78.0,18,2,2,Lost,0.0,0.007668081602456879,122.0,122.0,2017-03,2017,3
2017-03-08,20170308,20161107,20170308,5J9CMGDV,58.0,28,3,4,Won,46.0,0.8777252854153517,121.0,121.0,2017-03,2017,3
2017-03-17,20170317,20161107,20170317,JJXRR8R6,21.0,30,5,2,Lost,0.0,0.011907552830765585,130.0,130.0,2017-03,2017,3
2017-03-18,20170318,20161107,20170318,WF4HA5NW,59.0,5,3,4,Won,50.0,0.8750021867721143,131.0,131.0,2017-03,2017,3
2017-03-11,20170311,20161107,20170311,C5K2JP1H,75.0,12,6,4,Won,1014.0,0.9970718515487742,124.0,124.0,2017-03,2017,3
2017-03-26,20170326,20161108,20170326,ADRB8OMB,76.0,10,1,4,Won,561.0,0.9847860198403212,138.0,138.0,2017-03,2017,3
2017-03-23,20170323,20161110,20170323,SBCR987L,83.0,32,1,4,Won,590.0,0.9898444906800266,133.0,133.0,2017-03,2017,3
2017-03-12,20170312,20161110,20170312,JSD4APT2,4.0,3,3,4,Won,61.0,0.8798776219604633,122.0,122.0,2017-03,2017,3
2017-03-11,20170311,20161110,20170311,AO9Z2D17,78.0,12,5,2,Lost,0.0,0.011694216158919163,121.0,121.0,2017-03,2017,3
2017-03-05,20170305,20161111,20170305,5M58DTJK,10.0,28,3,4,Won,58.0,0.858637970234222,114.0,114.0,2017-03,2017,3
2017-03-14,20170314,20161111,20170314,KNY1OSAB,46.0,34,2,4,Won,4899.0,1.0,123.0,123.0,2017-03,2017,3
2017-03-01,20170301,20161111,20170301,EAZDUUM9,84.0,14,4,2,Lost,0.0,0.011613755919376752,110.0,110.0,2017-03,2017,3
2017-03-03,20170303,20161111,20170303,2STUSOFE,15.0,3,3,4,Won,67.0,0.8570374499941591,112.0,112.0,2017-03,2017,3
2017-03-06,20170306,20161112,20170306,JYKM0B00,77.0,30,2,4,Won,4338.0,0.9999999999999982,114.0,114.0,2017-03,2017,3
2017-03-19,20170319,20161112,20170319,KU28360J,21.0,31,1,4,Won,578.0,0.9765456216260295,127.0,127.0,2017-03,2017,3
2017-03-01,20170301,20161112,20170301,N4SD17JR,1.0,21,1,4,Won,556.0,0.9706133479624965,109.0,109.0,2017-03,2017,3
2017-03-03,20170303,20161112,20170303,E67P9Y3Q,33.0,25,1,4,Won,635.0,0.9853291473279705,111.0,111.0,2017-03,2017,3
