opportunity_id,account_key,sales_rep_key,product_key,stage_key,created_date,close_date,close_value,predicted_win_probability,weighted_pipeline_value,opportunity_age_days,days_to_close,created_year_month,close_year_month
1C1I7A6R,9.0,5,6,4,2016-10-20,2017-03-01,1054.0,0.9978784518343653,1054.0,132.0,132.0,2016-10,2017-03
Z063OYW0,39.0,10,2,4,2016-10-25,2017-03-11,4514.0,0.9999999999999998,4514.0,137.0,137.0,2016-10,2017-03
EC4QE1BX,9.0,10,3,4,2016-10-25,2017-03-07,50.0,0.8646315198346902,50.0,133.0,133.0,2016-10,2017-03
MV1LWRNH,11.0,5,1,4,2016-10-25,2017-03-09,588.0,0.9763559947227899,588.0,135.0,135.0,2016-10,2017-03
PE84CX4O,35.0,33,1,4,2016-10-25,2017-03-02,517.0,0.9534917674711986,517.0,128.0,128.0,2016-10,2017-03
ZNBS69V1,59.0,1,3,4,2016-10-29,2017-03-01,49.0,0.8931373275478722,49.0,123.0,123.0,2016-10,2017-03
9ME3374G,41.0,24,3,4,2016-10-30,2017-03-02,57.0,0.8191616533123421,57.0,123.0,123.0,2016-10,2017-03
7GN8Q4LL,10.0,27,1,4,2016-11-01,2017-03-07,601.0,0.9825879006204659,601.0,126.0,126.0,2016-11,2017-03
OLK9LKZB,85.0,9,6,4,2016-11-01,2017-03-03,1026.0,0.9915384127399082,1026.0,122.0,122.0,2016-11,2017-03
HAXMC4IX,,30,4,1,2016-11-03,,0.0,0.03863768289067124,0.0,423.0,,2016-11,
NL3JZH1Z,4.0,1,3,4,2016-11-04,2017-03-10,53.0,0.8751947049356589,53.0,126.0,126.0,2016-11,2017-03
KWVA7VR1,28.0,8,2,2,2016-11-04,2017-03-18,0.0,0.006943430094343691,0.0,134.0,134.0,2016-11,2017-03
S8DX3XOU,70.0,30,5,4,2016-11-04,2017-03-10,5169.0,1.0,5169.0,126.0,126.0,2016-11,2017-03
ENB2XD8G,65.0,34,5,4,2016-11-04,2017-03-06,4631.0,1.0,4631.0,122.0,122.0,2016-11,2017-03
09YE9QOV,24.0,26,4,4,2016-11-05,2017-03-11,3393.0,0.9999999999973237,3393.0,126.0,126.0,2016-11,2017-03
3F5MZNEH,65.0,25,3,2,2016-11-05,2017-03-03,0.0,0.7344170234083847,0.0,118.0,118.0,2016-11,2017-03
M6WEJXC0,61.0,25,4,4,2016-11-05,2017-03-06,3284.0,0.999999999988747,3284.0,121.0,121.0,2016-11,2017-03
6PTR7VBR,73.0,3,3,4,2016-11-06,2017-03-05,61.0,0.88521427271261,61.0,119.0,119.0,2016-11,2017-03
