date,year_month,year,month,account_key,account,closed_won_revenue,cohort_month,customer_status
2017-03-01,2017-03,2017,3,85.0,Zumgoity,14045.0,2017-03,new
2017-03-01,2017-03,2017,3,1.0,Acme Corporation,5550.0,2017-03,new
2017-03-01,2017-03,2017,3,33.0,Green-Plus,10571.0,2017-03,new
2017-03-01,2017-03,2017,3,71.0,The New York Inquirer,4305.0,2017-03,new
2017-03-01,2017-03,2017,3,49.0,Mathtouch,16952.0,2017-03,new
2017-03-01,2017-03,2017,3,63.0,Silis,20314.0,2017-03,new
2017-03-01,2017-03,2017,3,67.0,Statholdings,12562.0,2017-03,new
2017-03-01,2017-03,2017,3,17.0,Doncon,17458.0,2017-03,new
2017-03-01,2017-03,2017,3,8.0,Bubba Gump,549.0,2017-03,new
2017-03-01,2017-03,2017,3,3.0,Betatech,4440.0,2017-03,new
2017-05-01,2017-05,2017,5,38.0,Inity,18418.0,2017-03,returning
2017-06-01,2017-06,2017,6,84.0,Zotware,18947.0,2017-03,returning
2017-05-01,2017-05,2017,5,36.0,Hottechi,23950.0,2017-03,returning
2017-05-01,2017-05,2017,5,74.0,Umbrella Corporation,15248.0,2017-03,returning
2017-05-01,2017-05,2017,5,1.0,Acme Corporation,17416.0,2017-03,returning
2017-06-01,2017-06,2017,6,41.0,J-Texon,11846.0,2017-03,returning
2017-06-01,2017-06,2017,6,59.0,Ron-tech,14962.0,2017-03,returning
2017-05-01,2017-05,2017,5,21.0,Fasehatice,11064.0,2017-03,returning
2017-05-01,2017-05,2017,5,11.0,Codehow,2897.0,2017-03,returning
2017-05-01,2017-05,2017,5,26.0,Ganjaflex,7148.0,2017-03,returning
2017-06-01,2017-06,2017,6,46.0,Labdrill,44401.0,2017-03,returning
2017-05-01,2017-05,2017,5,40.0,Iselectrics,8935.0,2017-03,returning
2017-06-01,2017-06,2017,6,69.0,Sumace,4619.0,2017-03,returning
2017-06-01,2017-06,2017,6,67.0,Statholdings,8532.0,2017-03,returning
