date,forecast_revenue,forecast_type,period_index,month_num,year,month,year_month,date_key
2016-11-01,0.0,actual,,,2016,11,2016-11,20161101
2016-12-01,0.0,actual,,,2016,12,2016-12,20161201
2017-01-01,0.0,actual,,,2017,1,2017-01,20170101
2017-02-01,0.0,actual,,,2017,2,2017-02,20170201
2017-03-01,1134672.0,actual,,,2017,3,2017-03,20170301
2017-04-01,721932.0,actual,,,2017,4,2017-04,20170401
2017-05-01,1025713.0,actual,,,2017,5,2017-05,20170501
2017-06-01,1338466.0,actual,,,2017,6,2017-06,20170601
2017-07-01,696932.0,actual,,,2017,7,2017-07,20170701
2017-08-01,1050059.0,actual,,,2017,8,2017-08,20170801
2017-09-01,1235264.0,actual,,,2017,9,2017-09,20170901
2017-10-01,731980.0,actual,,,2017,10,2017-10,20171001
2017-11-01,938943.0,actual,,,2017,11,2017-11,20171101
2017-12-01,1131573.0,actual,,,2017,12,2017-12,20171201
2018-01-01,1035258.0000000003,forecast,14.0,1.0,2018,1,2018-01,20180101
2018-02-01,1035257.9999999995,forecast,15.0,2.0,2018,2,2018-02,20180201
2018-03-01,2169930.0,forecast,16.0,3.0,2018,3,2018-03,20180301
2018-04-01,1757190.0,forecast,17.0,4.0,2018,4,2018-04,20180401
2018-05-01,2060970.9999999995,forecast,18.0,5.0,2018,5,2018-05,20180501
2018-06-01,2373724.0,forecast,19.0,6.0,2018,6,2018-06,20180601
