date,year_month,year,month,deal_stage,opportunities_created,won_count,lost_count,stage_conversion_rate,avg_opportunity_age_days,avg_days_to_close
2016-10-01,2016-10,2016,10,Won,7,7.0,0.0,1.0,130.14285714285714,130.14285714285714
2016-11-01,2016-11,2016,11,Engaging,13,0.0,0.0,,407.0769230769231,
2016-12-01,2016-12,2016,12,Lost,36,0.0,36.0,0.0,90.25,90.25
2017-02-01,2017-02,2017,2,Won,277,277.0,0.0,1.0,80.64981949458483,80.64981949458483
2017-03-01,2017-03,2017,3,Engaging,137,0.0,0.0,,290.48175182481754,
2017-04-01,2017-04,2017,4,Lost,326,0.0,326.0,0.0,19.904907975460123,19.904907975460123
2016-11-01,2016-11,2016,11,Won,83,83.0,0.0,1.0,113.04819277108433,113.04819277108433
2017-01-01,2017-01,2017,1,Lost,66,0.0,66.0,0.0,88.84848484848484,88.84848484848484
2017-02-01,2017-02,2017,2,Engaging,95,0.0,0.0,,318.37894736842105,
2017-03-01,2017-03,2017,3,Won,440,440.0,0.0,1.0,55.45,55.45
2017-07-01,2017-07,2017,7,Lost,355,0.0,355.0,0.0,24.04507042253521,24.04507042253521
2017-08-01,2017-08,2017,8,Lost,198,0.0,198.0,0.0,58.76262626262626,58.76262626262626
2017-10-01,2017-10,2017,10,Lost,303,0.0,303.0,0.0,15.768976897689768,15.768976897689768
2017-12-01,2017-12,2017,12,Lost,23,0.0,23.0,0.0,13.08695652173913,13.08695652173913
2017-05-01,2017-05,2017,5,Lost,222,0.0,222.0,0.0,58.5945945945946,58.5945945945946
2017-06-01,2017-06,2017,6,Lost,228,0.0,228.0,0.0,45.83771929824562,45.83771929824562
2017-09-01,2017-09,2017,9,Won,425,425.0,0.0,1.0,55.870588235294115,55.870588235294115
2017-11-01,2017-11,2017,11,Won,157,157.0,0.0,1.0,16.579617834394906,16.579617834394906
2017-05-01,2017-05,2017,5,Engaging,134,0.0,0.0,,229.26865671641792,
2017-06-01,2017-06,2017,6,Engaging,111,0.0,0.0,,198.26126126126127,
2017-05-01,2017-05,2017,5,Won,366,366.0,0.0,1.0,62.560109289617486,62.560109289617486
2017-06-01,2017-06,2017,6,Won,453,453.0,0.0,1.0,53.724061810154524,53.724061810154524
2017-09-01,2017-09,2017,9,Lost,252,0.0,252.0,0.0,48.3531746031746,48.3531746031746
2017-11-01,2017-11,2017,11,Lost,87,0.0,87.0,0.0,10.03448275862069,10.03448275862069
2016-12-01,2016-12,2016,12,Won,160,160.0,0.0,1.0,90.4375,90.4375
2017-01-01,2017-01,2017,1,Engaging,65,0.0,0.0,,349.4,
2017-02-01,2017-02,2017,2,Lost,143,0.0,143.0,0.0,86.86713286713287,86.86713286713287
2017-04-01,2017-04,2017,4,Won,427,427.0,0.0,1.0,31.953161592505854,31.953161592505854
2017-07-01,2017-07,2017,7,Engaging,402,0.0,0.0,,161.59203980099502,
2017-08-01,2017-08,2017,8,Engaging,254,0.0,0.0,,140.93700787401573,
2017-10-01,2017-10,2017,10,Engaging,58,0.0,0.0,,77.01724137931035,
2017-12-01,2017-12,2017,12,Engaging,18,0.0,0.0,,17.38888888888889,
2016-11-01,2016-11,2016,11,Lost,19,0.0,19.0,0.0,118.52631578947368,118.52631578947368
2016-12-01,2016-12,2016,12,Engaging,40,0.0,0.0,,378.55,
2017-01-01,2017-01,2017,1,Won,181,181.0,0.0,1.0,82.65193370165746,82.65193370165746
2017-03-01,2017-03,2017,3,Lost,215,0.0,215.0,0.0,49.0,49.0
2017-04-01,2017-04,2017,4,Engaging,121,0.0,0.0,,260.3223140495868,
2017-07-01,2017-07,2017,7,Won,441,441.0,0.0,1.0,30.238095238095237,30.238095238095237
2017-08-01,2017-08,2017,8,Won,341,341.0,0.0,1.0,63.219941348973606,63.219941348973606
2017-10-01,2017-10,2017,10,Won,400,400.0,0.0,1.0,25.0925,25.0925
2017-12-01,2017-12,2017,12,Won,80,80.0,0.0,1.0,10.425,10.425
2017-09-01,2017-09,2017,9,Engaging,102,0.0,0.0,,108.2843137254902,
2017-11-01,2017-11,2017,11,Engaging,39,0.0,0.0,,49.256410256410255,
