date,year_month,year,month,product_key,product,series,closed_won_revenue,pipeline_value,avg_predicted_win_probability
2017-03-01,2017-03,2017,3,3,MG Special,MG,5805.0,5805.0,0.7445440502837399
2017-06-01,2017-06,2017,6,4,MG Advanced,MG,314043.0,314043.0,0.7825780125354649
2017-04-01,2017-04,2017,4,7,GTK 500,GTK,49034.0,49034.0,0.6730291093359314
2017-08-01,2017-08,2017,8,1,GTX Basic,GTX,47532.0,47532.0,0.5731761262692086
2017-12-01,2017-12,2017,12,1,GTX Basic,GTX,65137.0,65137.0,0.814767093065601
2017-03-01,2017-03,2017,3,2,GTX Pro,GTX,376966.0,376966.0,0.8258730529716322
2017-06-01,2017-06,2017,6,2,GTX Pro,GTX,453495.0,453495.0,0.8709558172382713
2017-06-01,2017-06,2017,6,1,GTX Basic,GTX,60549.0,60549.0,0.786236996418411
2017-06-01,2017-06,2017,6,5,GTX Plus Pro,GTX,272911.0,272911.0,0.7917188505294939
2017-04-01,2017-04,2017,4,1,GTX Basic,GTX,32563.0,32563.0,0.4642124201029274
2017-08-01,2017-08,2017,8,6,GTX Plus Basic,GTX,95162.0,95162.0,0.6265406290901913
2017-08-01,2017-08,2017,8,7,GTK 500,GTK,75435.0,75435.0,0.7538295658889705
2017-07-01,2017-07,2017,7,6,GTX Plus Basic,GTX,56153.0,56153.0,0.5529898833427369
2017-12-01,2017-12,2017,12,3,MG Special,MG,5710.0,5710.0,0.6899964312524954
2017-12-01,2017-12,2017,12,5,GTX Plus Pro,GTX,332502.0,332502.0,0.8704488568005996
2017-11-01,2017-11,2017,11,7,GTK 500,GTK,26186.0,26186.0,0.2606363166027347
2017-10-01,2017-10,2017,10,6,GTX Plus Basic,GTX,48131.0,48131.0,0.4757831425453485
2017-10-01,2017-10,2017,10,2,GTX Pro,GTX,265015.0,265015.0,0.5403424883766893
2017-03-01,2017-03,2017,3,5,GTX Plus Pro,GTX,278081.0,278081.0,0.7986254141890983
2017-05-01,2017-05,2017,5,2,GTX Pro,GTX,352576.0,352576.0,0.5090107099446803
2017-05-01,2017-05,2017,5,4,MG Advanced,MG,238700.0,238700.0,0.5755700991192015
2017-06-01,2017-06,2017,6,7,GTK 500,GTK,137703.0,137703.0,1.0
