Country,Sector,Wins,Win %,Avg SCL,Revenue,Avg Revenue
Belgium,retail,63,60.6,48.57,117463.0,1864.0
Brazil,services,32,61.5,46.21,63103.0,1972.0
China,technology,33,68.8,44.4,86690.0,2627.0
Germany,services,37,72.5,42.41,82622.0,2233.0
Italy,retail,54,62.1,43.92,114352.0,2118.0
Japan,retail,46,61.3,48.92,123506.0,2685.0
Jordan,marketing,52,64.2,45.57,163339.0,3141.0
Kenya,medical,53,61.6,41.79,107408.0,2027.0
Korea,technology,111,57.5,48.12,194957.0,1756.0
Norway,technology,50,58.8,46.65,115712.0,2314.0
Panama,technology,75,75.0,56.76,151777.0,2024.0
Philipines,medical,50,58.8,48.0,90991.0,1820.0
Poland,marketing,45,66.2,39.29,106754.0,2372.0
Romania,retail,23,56.1,51.12,59905.0,2605.0
United States,retail,613,63.9,49.26,1452302.0,2369.0
United States,medical,489,62.8,46.8,1161196.0,2375.0
United States,software,450,63.9,49.74,1077934.0,2395.0
United States,technology,402,63.6,45.69,966351.0,2404.0
United States,finance,375,61.2,47.89,950908.0,2536.0
United States,entertainment,260,64.7,49.51,689007.0,2650.0
