City,Lat,Long,LongLat,State
Aberdare,-32.84,151.38,"151.38,-32.84",New South Wales
Adelaide,-34.9275,138.6,"138.6,-34.9275",South Australia
Albury,-36.0806,146.9158,"146.9158,-36.0806",New South Wales
Aldgate,-35.0172,138.7377,"138.7377,-35.0172",South Australia
Alstonville,-28.85,153.4333,"153.4333,-28.85",New South Wales
Andergrove,-21.093,149.1855,"149.1855,-21.093",Queensland
Armidale,-30.5,151.65,"151.65,-30.5",New South Wales
Australind,-33.28,115.726,"115.726,-33.28",Western Australia
Ballarat,-37.5608,143.8475,"143.8475,-37.5608",Victoria
Ballina,-28.8636,153.5328,"153.5328,-28.8636",New South Wales
Bangalow,-28.7,153.5167,"153.5167,-28.7",New South Wales
Banora Point,-28.2167,153.5333,"153.5333,-28.2167",New South Wales
Bargara,-24.8205,152.4625,"152.4625,-24.8205",Queensland
Barmera,-34.25,140.4667,"140.4667,-34.25",South Australia
Barwon Heads,-38.25,144.5167,"144.5167,-38.25",Victoria
Batehaven,-35.7333,150.2,"150.2,-35.7333",New South Wales
Bathurst,-33.42,149.5778,"149.5778,-33.42",New South Wales
Baxter,-38.196,145.157,"145.157,-38.196",Victoria
Bay View,-33.6592,151.2861,"151.2861,-33.6592",New South Wales
Beachmere,-27.1294,153.0538,"153.0538,-27.1294",Queensland
Beaconsfield Upper,-37.996,145.415,"145.415,-37.996",Victoria
Beenleigh,-27.7161,153.2022,"153.2022,-27.7161",Queensland
Bellingen,-30.4333,152.9,"152.9,-30.4333",New South Wales
Bendigo,-36.75,144.2667,"144.2667,-36.75",Victoria
Berri,-34.2833,140.6,"140.6,-34.2833",South Australia
Blaxland,-33.75,150.6167,"150.6167,-33.75",New South Wales
Blayney,-33.5333,149.25,"149.25,-33.5333",New South Wales
Bogangar,-28.3318,153.5596,"153.5596,-28.3318",New South Wales
Bomaderry,-34.848,150.605,"150.605,-34.848",New South Wales
Bongaree,-27.0813,153.1636,"153.1636,-27.0813",Queensland
Bonny Hills,-31.5833,152.8333,"152.8333,-31.5833",New South Wales
Boulder,-30.7819,121.4886,"121.4886,-30.7819",Western Australia
Bourke,-30.1,145.9333,"145.9333,-30.1",New South Wales
Bowral,-34.4792,150.4181,"150.4181,-34.4792",New South Wales
Brisbane,-27.4678,153.0281,"153.0281,-27.4678",Queensland
Broadford,-37.2,145.0667,"145.0667,-37.2",Victoria
Brunswick Heads,-28.5333,153.55,"153.55,-28.5333",New South Wales
Bucasia,-21.0312,149.1599,"149.1599,-21.0312",Queensland
Buderim,-26.6847,153.0532,"153.0532,-26.6847",Queensland
Buninyong,-37.6503,143.8839,"143.8839,-37.6503",Victoria
Burnie,-41.0636,145.8753,"145.8753,-41.0636",Tasmania
Burpengary,-27.1444,153.0002,"153.0002,-27.1444",Queensland
Cairns,-16.92,145.78,"145.78,-16.92",Queensland
Caloundra,-26.8047,153.1338,"153.1338,-26.8047",Queensland
